CC_Pop,avg_nuclei,rerun16,Sample_ID,HEXTag,DECTag,DPH,Sex,FLeng_mm,TLeng_mm,mass_g,K,SGR,DNA_pg,Celltype,Smear_Pop,Smr_samp,Diam_um,avg_volume_um3,avg_volume_uL,avg_surface_um2,SAVratio,Event_,n_CC,avg_allTLmm,allTL_sd,allTL_max,allTL_min,avg_allFLmm,allFL_sd,allFL_max,allFL_min,avg_allg,allg_sd,allg_max,allg_min,avg_allk,allK_sd,allK_max,allK_min,avg_allsgr,allsgr_sd,allsgr_max,allsgr_min,avg_allploidy,allploid_sd,allploid_max,allploid_min,avg_8ploidy,max_ploid,min_ploid,sd_ploid,avg_NDiam,sd_NDiam,min_NDiam,max_NDiam,avg_CDiam,sd_CDiam,min_CDiam,max_CDiam,avg_SCDiam,sd_SCDiam,min_SCDiam,max_SCDiam,avg_SNDiam,sd_SNDiam,min_SNDiam,max_SNDiam,n_smear,avg_Nvol_um3,sd_Nvol_um3,min_Nvol_um3,max_Nvol_um3,avg_Cvol_um3,sd_Cvol_um3,min_Cvol_um3,max_Cvol_um3,avg_Nvol_uL,sd_Nvol_uL,min_Nvol_uL,max_Nvol_uL,avg_Cvol_uL,sd_Cvol_uL,min_Cvol_uL,max_Cvol_uL,avg_Nsurf_um2,sd_Nsurf_um2,min_Nsurf_um2,max_Nsurf_um2,avg_Csurf_um2,sd_Csurf_um2,min_Csurf_um2,max_Csurf_um2,avg_CSAV,sd_CSAV,min_CSAV,max_CSAV,avg_NSAV,sd_NSAV,min_NSAV,max_NSAV
PDB,47.18916667,,A1,,,,,797,895,3600,0.502149917,,,avg_cell,PDB,312,29.136,6475.571351,6.47557E-06,471.4597059,0.072805885,NOV,47,107.09,16.13,141,79,,,,,4.03,1.73,8.68,1.3812,0.309,0.027,0.395,0.242,,,,,55.21,2.22,63.02,52.06,54.77,58.15,52.06,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,49.0158,,A2,,,,,789,902,4050,0.551868252,,,avg_cell,PDB,313,29.3403,7245.507903,7.24551E-06,500.4460463,0.069069837,DEC,46,119.65,12.94,151,86,,,,,5.46,1.85,10.1836,1.63,0.307,0.256,0.36,0.023,1.32,2.41,6.79,-4.05,56.41,4.27,80.07,51.45,55.71,59.37,51.45,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.79806667,,A4,,,,,101,1130,6700,0.464343609,,,avg_cell,PDB,323,29.2986,6197.492342,6.19749E-06,462.5109337,0.074628722,JAN,45,127.22,21.55,169,82,,,,,6.5,3.31,13.98,2.03,0.291,0.03,0.38,0.23,0.5,2.94,9.34,-5.55,55.86,4.43,81.29,52.06,55.12,59.98,52.06,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,C5,,,,,732,840,3350,0.565206241,,,avg_cell,PDB,325,28.9094,6184.870651,6.18487E-06,458.9606162,0.074206987,JAN_,45,138.76,23.75,205,103,,,,,8.69,5.39,28.66,2.58,0.289,0.035,0.35,0.22,2.08,2.56,8.78,-4.12,56.94,4.5,83.72,53.28,56.21,60.58,53.28,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,C7,,,,M,1000,1120,7500,0.533835186,,,avg_cell,PDB,326,29.8165,6287.978945,6.28798E-06,469.9746584,0.074741767,FEB,44,160.41,25.15,207,103,,,,,13.65,5.96,26.32,2.7,0.306,0.026,0.36,0.24,1.61,2.29,9.36,-2.29,55.04,5.24,84.33,50.23,54.35,61.19,50.23,2.65,14.32,1.63,12.38,16.75,31.04,1.22,29.08,34.52,21.3,1.24,19.37,23.17,9.63,0.94,8.34,14.3,22,719.62,277.81,470.54,1793.27,7412.78,963.04,5805.4,8962.8,7.1962E-07,2.77807E-07,4.70543E-07,1.79327E-06,7.41278E-06,9.63036E-07,5.8054E-06,8.9628E-06,109.26,23.13,82.84,188.1,520.2,46.53,449.66,603.71,0.071,0.0032,0.064,0.077,0.158,0.016,0.105,0.18
PDB,46.5803,,C10,,,,,780,885,4000,0.577072235,,,avg_cell,PDB,327,29.672,6967.391499,6.96739E-06,493.5135571,0.070831897,APR,39,169.46,41.25,299,102,,,,,16.18,9.19,38.5,2.98,0.302,0.043,0.39,0.095,0.3,0.6,1.5,-1.26,54.67,4.05,75.81,50.84,53.69,57.54,50.8425,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.18916667,,B11,,,,,1250,1405,8165,0.294392822,,,avg_cell,PDB,329,28.1725,5643.400074,5.6434E-06,432.7864786,0.076688959,MAY,96,167.45,39.11,255,99,,,,,17.35612,15.61,83.61,3.1,0.327,0.066,0.62,0.15,0.44,5.32,10.51,-10.24,53.45,3.62,77.63,49.02,52.87,59.98,49.02,2.01,14.94,2.18,12.88,18.31,33.39,0.99,28.63,39.7,21.53,0.71,17.99,24.58,9.07,1.42,8.14,11.69,29,652.87,158.99,481.12,1310.27,8192.68,1543.9,5151.87,12113.1,6.52874E-07,1.5899E-07,4.81121E-07,1.31026E-06,8.19268E-06,1.5439E-06,5.15187E-06,1.21131E-05,106.83,15.63,85.43,168.13,566.48,71.05,424.93,741.45,0.07,0.0048,0.061,0.083,0.166,0.012,0.128,0.184
PDB,47.18916667,,B12,,,,,1000,1100,8500,0.638617581,,,avg_cell,PDB,330,27.7739,5661.585693,5.66159E-06,430.405732,0.076022117,PDB,298,1041.67,173.4,1897,562,926.08,161.49,1340,101,7392.9,4360.3,24948,950,0.601,0.113,1.033,0.066,,,,,47.95,1.71,69.72,45.36,47.78,50.23,45.36,0.94,11.32,1.93,9.75,14.87,29.08,1.03,25.27,36.44,20.65,0.81,18.19,26,8.83,1.33,7.36,10.61,31,471.13,124.1,276.55,842.48,650.33,1403.26,4380.97,12897.67,4.71133E-07,1.24101E-07,2.76552E-07,8.42478E-07,6.57033E-06,1.40326E-06,4.38097E-06,1.28977E-05,78.96,13.66,56.36,121.47,473.4,63.06,361.17,744.06,0.073,0.0043,0.058,0.082,0.17,0.016,0.14,0.204
PDB,48.4069,,B13,,,,,900,995,6100,0.619242268,,,avg_cell,PDB,331,29.68545,6621.406984,6.62141E-06,481.2131978,0.072675369,LR,150,217.5,16.87,257,163,185.41,14.16,215,140,35.25,7.7,57.8,16.44,0.338,0.023,0.404,0.289,,,,,51.582,3.2,71.06,22.22,51.69,53.89,49.62,0.94,13.15,1.58,11.97,14.63,30.09,0.79,28.11,33.18,21.73,0.56,19.97,23.92,9.28,1.03,8.58,10.43,15,598.35,106.99,478.87,833.2,7486.94,1065.92,5937.91,9570.5,5.98347E-07,1.06989E-07,4.78874E-07,8.33198E-07,7.48694E-06,1.06592E-06,5.93791E-06,9.5705E-06,96.08,11.15,82.98,119.83,514.63,49.33,445.99,600.25,0.069,0.0033,0.063,0.075,0.162,0.0095,0.143,0.175
PDB,47.79803333,,B14,,,,,702,793,2900,0.581538452,,,avg_cell,PDB,332,29.4126,6308.143387,6.30814E-06,467.5284642,0.074115066,BR,150,208.68,18.59,269,167,181.3,15.86,232,147,34.473,9.36,65.94,17.5,0.373,0.04,0.689,0.312,,,,,51.72,1.75,63.02,46.58,51.55,53.89,49.02,0.98,13.5,1.04,12.41,14.63,30.13,0.6,28.53,32.08,21.69,0.44,20.55,23.54,9.61,0.93,8.73,10.34,11,655.69,77.14,502.9,760.27,7451.19,876.233,6376,9082.78,6.55695E-07,7.71422E-08,5.02897E-07,7.6027E-07,7.45119E-06,8.76233E-07,6.376E-06,9.08278E-06,102.02,7.89,86.44,111.77,513.86,38.07,465.46,578.65,0.069,0.0029,0.064,0.073,0.156,0.0073,0.145,0.172
PDB,47.79803333,,B16,,,,,841,935,4500,0.550525806,,,avg_cell,PDB,333,28.36868,6342.115842,6.34212E-06,460.3914181,0.072592717,NR,44,1307,668.5,4400,876.3,1324,1397.5,9550,806.45,7611.2,4500,20865,670,0.458,0.194,0.787,0.008,,,,,50.03,1.025,53.89,48.41,50.05,50.84,49.02,0.56,11.88,1.39,11.05,13.36,28.89,0.6,26.34,31.35,19.98,0.46,17.95,22.34,8.26,1.01,7.37,9.91,30,426.75,60.45,313.99,573.26,6070.41,808.54,4577.81,7396.47,4.2675E-07,6.0451E-08,3.13999E-07,5.73256E-07,6.07041E-06,8.08544E-07,4.57781E-06,7.39647E-06,77.17,6.88,63.93,94.51,454.02,39.84,380.8,518.07,0.075,0.0038,0.067,0.084,0.182,0.0097,0.151,0.204
PDB,47.79803333,,D18,,,,,952,1075,7650,0.615794836,,,avg_cell,PDB,334,26.98445,5969.62644,5.96963E-06,435.6331627,0.072974945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,E20,,,,,1138,1280,15000,0.715255737,,,avg_cell,PDB,335,27.83658,5527.04138,5.52704E-06,425.7404028,0.077028626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.79803333,,E21,,,,,1280,1582,17000,0.429367812,,,avg_cell,PDB,336,30.90315,7873.222737,7.87322E-06,535.3874839,0.068001059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,E22,,,,,1020,1130,8100,0.561370631,,,avg_cell,PDB,338,30.78683,6818.065155,6.81807E-06,497.2830204,0.072936091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,E23,,,,,1222,1346,16000,0.656122307,,,avg_cell,PDB,339,28.11563,6127.020782,6.12702E-06,450.4941509,0.073525808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,E25,,,,M,1065,1180,9400,0.57211302,,,avg_cell,PDB,340,29.84108,6653.586073,6.65359E-06,483.6439154,0.07268921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,E26,,,,,943,1060,7600,0.638110655,,,avg_cell,PDB,341,29.50788,6744.450228,6.74445E-06,484.2089935,0.071793694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,E27,,,,,1051,1179,8400,0.512551927,,,avg_cell,PDB,342,29.91563,7028.746148,7.02875E-06,497.712532,0.070810998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,G28,,,,,905,995,5450,0.553257436,,,avg_cell,PDB,343,29.61215,7143.471335,7.14347E-06,499.2064565,0.069882895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,49.6247,,G29_,,,,,884,984,6000,0.629746779,,,avg_cell,PDB,344,28.24893,6748.454769,6.74845E-06,473.9076749,0.07022462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,G30,,,,,710,800,3150,0.615234375,,,avg_cell,PDB,345,29.5228,6135.659876,6.13566E-06,461.9553285,0.075290244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.79803333,,G31,,,,,934,1060,5500,0.461790606,,,avg_cell,PDB,346,25.2744,4380.974319,4.38097E-06,361.1738936,0.082441454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,G32,,,,,805,905,4650,0.627346118,,,avg_cell,PDB,350,30.7214,7662.407468,7.66241E-06,526.6155673,0.068727168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,49.62473333,,A33,,,,,930,1050,6200,0.535579311,,,avg_cell,PDB,351,29.77595,7220.528118,7.22053E-06,503.2779061,0.069700983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,A34,,,,,761,852,3600,0.582081393,,,avg_cell,PDB,352,27.2344,4807.334752,4.80733E-06,392.7368554,0.081695342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.79803333,,A36,,,,,781,881,3550,0.519159288,,,avg_cell,PDB,353,26.4398,5369.239134,5.36924E-06,408.9554747,0.076166374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,A37,,,,,842,933,4000,0.492510008,,,avg_cell,PDB,354,30.35158,6871.623356,6.87162E-06,495.6908425,0.072135916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,A38,,,,,795,901,4300,0.587887306,,,avg_cell,PDB,355,26.89068,6031.009683,6.03101E-06,437.1057056,0.072476373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,A39,,,,,780,881,3100,0.453350364,,,avg_cell,PDB,356,27.53995,5734.634286,5.73463E-06,431.3452376,0.075217567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,50.2336,,A40,,,,,815,913,4350,0.571579869,,,avg_cell,PDB,432,36.4356,12897.6721,1.28977E-05,744.0621261,0.057689645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,A41,,,,,1111,1220,9000,0.495636199,,,avg_nuclei,PDB,312,10.88545,422.4086167,4.22409E-07,73.60039553,0.174239806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,49.6247,,C43,,,,,940,1050,5500,0.475110679,,,avg_nuclei,PDB,313,11.44165,482.4767047,4.82477E-07,80.64418814,0.167146284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.79803333,,C47,,,,,830,922,4500,0.574142572,,,avg_nuclei,PDB,323,12.2455,486.8445587,4.86845E-07,83.80578371,0.172140742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,45.36271,,C48,,,,,782,880,4100,0.601638805,,,avg_nuclei,PDB,325,11.4877,495.8150425,4.95815E-07,81.9156652,0.165214159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,B50,,,,,864,980,4800,0.509991585,,,avg_nuclei,PDB,326,11.3543,452.7013616,4.52701E-07,77.81738867,0.171895636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,D52,,,,,492,562,950,0.535198218,,,avg_nuclei,PDB,327,12.1034,589.6584464,5.89658E-07,91.69476151,0.155504872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.79803333,,D53,,,,,838,950,4700,0.548184867,,,avg_nuclei,PDB,329,11.1525,502.5875369,5.02588E-07,81.26107131,0.161685409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.79803333,,D56,,,,,963,1095,8700,0.662638851,,,avg_nuclei,PDB,330,11.7253,531.7836908,5.31784E-07,85.70774302,0.161170311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,49.6247,,D54,,,,,845,950,4700,0.548184867,,,avg_nuclei,PDB,331,11.24368,547.2178737,5.47218E-07,85.13829444,0.155583906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
